"","x"
"1","1901 Al Maul"
"2","1901 Al Orth"
"3","1901 Amos Rusie"
"4","1901 Archie Stimmel"
"5","1901 Barney McFadden"
"6","1901 Ben Beville"
"7","1901 Bert Husting"
"8","1901 Bill Bernhard"
"9","1901 Bill Bradley"
"10","1901 Bill Carrick"
"11","1901 Bill Cristall"
"12","1901 Bill Dinneen"
"13","1901 Bill Donovan"
"14","1901 Bill Duggleby"
"15","1901 Bill Hart"
"16","1901 Bill Hoffer"
"17","1901 Bill Karns"
"18","1901 Bill Magee"
"19","1901 Bill Phillips"
"20","1901 Bill Phyle"
"21","1901 Bill Reidy"
"22","1901 Billy Milligan"
"23","1901 Bob Lawson"
"24","1901 Bob Wicker"
"25","1901 Bock Baker"
"26","1901 Brickyard Kennedy"
"27","1901 Casey Patten"
"28","1901 Charlie Case"
"29","1901 Charlie Ferguson"
"30","1901 Charlie Hickman"
"31","1901 Chauncey Fisher"
"32","1901 Chick Fraser"
"33","1901 Christy Mathewson"
"34","1901 Clark Griffith"
"35","1901 Cowboy Jones"
"36","1901 Crazy Schmit"
"37","1901 Crese Heismann"
"38","1901 Cy Young"
"39","1901 Dale Gear"
"40","1901 Deacon Phillippe"
"41","1901 Dick Braggins"
"42","1901 Dick Scott"
"43","1901 Doc Newton"
"44","1901 Doc White"
"45","1901 Dummy Deegan"
"46","1901 Dummy Leitner"
"47","1901 Dummy Taylor"
"48","1901 Earl Moore"
"49","1901 Ed Doheny"
"50","1901 Ed High"
"51","1901 Ed Murphy"
"52","1901 Ed Poole"
"53","1901 Ed Scott"
"54","1901 Ed Siever"
"55","1901 Eddie Plank"
"56","1901 Ellsworth Cunningham"
"57","1901 Emil Frisk"
"58","1901 Farmer Burns"
"59","1901 Frank Dupee"
"60","1901 Frank Foreman"
"61","1901 Frank Isbell"
"62","1901 Frank Kitson"
"63","1901 Frank Morrissey"
"64","1901 Frank Owen"
"65","1901 Fred Mitchell"
"66","1901 Gene McCann"
"67","1901 Gene Wright"
"68","1901 George Merritt"
"69","1901 George Prentiss"
"70","1901 George Smith"
"71","1901 George Van Haltren"
"72","1901 George Winter"
"73","1901 Gus Weyhing"
"74","1901 Happy Townsend"
"75","1901 Harley McNeal"
"76","1901 Harley Parker"
"77","1901 Harry Felix"
"78","1901 Harry Howell"
"79","1901 Ike Van Zandt"
"80","1901 Jack Bracken"
"81","1901 Jack Chesbro"
"82","1901 Jack Cronin"
"83","1901 Jack Dunn"
"84","1901 Jack Harper"
"85","1901 Jack Katoll"
"86","1901 Jack McAleese"
"87","1901 Jack Powell"
"88","1901 Jack Sutthoff"
"89","1901 Jack Taylor"
"90","1901 Jake Livingstone"
"91","1901 Jake Volz"
"92","1901 James McJames"
"93","1901 Jerry Nops"
"94","1901 Jesse Tannehill"
"95","1901 Jim Hughes"
"96","1901 Jim Jones"
"97","1901 Jimmy Callahan"
"98","1901 Jimmy McAleer"
"99","1901 Joe McGinnity"
"100","1901 Joe Yeager"
"101","1901 John McPherson"
"102","1901 John Menefee"
"103","1901 John Skopec"
"104","1901 Kid Carsey"
"105","1901 Kid Nichols"
"106","1901 Larry Hesterfer"
"107","1901 Len Swormstedt"
"108","1901 Lewis Wiltse"
"109","1901 Mal Eason"
"110","1901 Mike O'Neill"
"111","1901 Ned Garvin"
"112","1901 Nig Cuppy"
"113","1901 Noodles Hahn"
"114","1901 Pete Dowling"
"115","1901 Pete Loos"
"116","1901 Pink Hawley"
"117","1901 Red Donahue"
"118","1901 Roger Bresnahan"
"119","1901 Roger Denzer"
"120","1901 Roscoe Miller"
"121","1901 Roy Patterson"
"122","1901 Rube Waddell"
"123","1901 Sam Leever"
"124","1901 Stan Yerkes"
"125","1901 Ted Breitenstein"
"126","1901 Ted Lewis"
"127","1901 Togie Pittinger"
"128","1901 Tom Donovan"
"129","1901 Tom Hughes"
"130","1901 Tully Sparks"
"131","1901 Vic Willis"
"132","1901 Whitey Guese"
"133","1901 Wiley Piatt"
"134","1901 Willie Mills"
"135","1901 Willie Sudhoff"
"136","1901 Win Kellum"
"137","1901 Win Mercer"
"138","1901 Wyatt Lee"
"139","1901 Zaza Harvey"
"140","1902 Addie Joss"
"141","1902 Al Orth"
"142","1902 Alex Hardy"
"143","1902 Alex Pearson"
"144","1902 Andy Coakley"
"145","1902 Arch McCarthy"
"146","1902 Archie Stimmel"
"147","1902 Barney McFadden"
"148","1902 Bert Husting"
"149","1902 Bill Bernhard"
"150","1902 Bill Carrick"
"151","1902 Bill Dinneen"
"152","1902 Bill Donovan"
"153","1902 Bill Duggleby"
"154","1902 Bill Friel"
"155","1902 Bill Magee"
"156","1902 Bill Phillips"
"157","1902 Bill Popp"
"158","1902 Bill Reidy"
"159","1902 Bill Wolfe"
"160","1902 Bob Blewett"
"161","1902 Bob Dresser"
"162","1902 Bob Ewing"
"163","1902 Bob Lawson"
"164","1902 Bob Rhoads"
"165","1902 Bob Wicker"
"166","1902 Bobby Wallace"
"167","1902 Brickyard Kennedy"
"168","1902 Buck Hooker"
"169","1902 Cal Vasbinder"
"170","1902 Carl Lundgren"
"171","1902 Casey Patten"
"172","1902 Chappie McFarland"
"173","1902 Charlie Hickman"
"174","1902 Charlie Shields"
"175","1902 Charlie Smith"
"176","1902 Chick Fraser"
"177","1902 Christy Mathewson"
"178","1902 Clarence Currie"
"179","1902 Clark Griffith"
"180","1902 Crese Heismann"
"181","1902 Cy Seymour"
"182","1902 Cy Vorhees"
"183","1902 Cy Young"
"184","1902 Dave Williams"
"185","1902 Deacon Phillippe"
"186","1902 Dike Varney"
"187","1902 Doc Adkins"
"188","1902 Doc Newton"
"189","1902 Doc White"
"190","1902 Dummy Leitner"
"191","1902 Dummy Taylor"
"192","1902 Earl Moore"
"193","1902 Ed Doheny"
"194","1902 Ed Fisher"
"195","1902 Ed Kenna"
"196","1902 Ed Murphy"
"197","1902 Ed Poole"
"198","1902 Ed Siever"
"199","1902 Ed Walker"
"200","1902 Eddie Plank"
"201","1902 Emmet Heidrick"
"202","1902 Ernie Ross"
"203","1902 Frank Foreman"
"204","1902 Frank Isbell"
"205","1902 Frank Kitson"
"206","1902 Frank Morrissey"
"207","1902 Fred Glade"
"208","1902 Fred Klobedanz"
"209","1902 Fred Mitchell"
"210","1902 Gene McCann"
"211","1902 Gene Wright"
"212","1902 George Mullin"
"213","1902 George Prentiss"
"214","1902 George Winter"
"215","1902 Ginger Clark"
"216","1902 Gus Dorner"
"217","1902 Ham Iburg"
"218","1902 Happy Townsend"
"219","1902 Harry Felix"
"220","1902 Harry Howell"
"221","1902 Harry Kane"
"222","1902 Harvey Cushman"
"223","1902 Henry Thielman"
"224","1902 Highball Wilson"
"225","1902 Honus Wagner"
"226","1902 Ike Butler"
"227","1902 Jack Chesbro"
"228","1902 Jack Cronin"
"229","1902 Jack Dunn"
"230","1902 Jack Harper"
"231","1902 Jack Katoll"
"232","1902 Jack Lundbom"
"233","1902 Jack Powell"
"234","1902 Jack Taylor"
"235","1902 Jacob Fox"
"236","1902 Jake Beckley"
"237","1902 James Durham"
"238","1902 Jesse Burkett"
"239","1902 Jesse Tannehill"
"240","1902 Jesse Whiting"
"241","1902 Jim Gardner"
"242","1902 Jim Hackett"
"243","1902 Jim Hughes"
"244","1902 Jim St. Vrain"
"245","1902 Jimmy Callahan"
"246","1902 Joe Adams"
"247","1902 Joe McGinnity"
"248","1902 Joe Sugden"
"249","1902 Joe Yeager"
"250","1902 John Burke"
"251","1902 John Malarkey"
"252","1902 John McMakin"
"253","1902 John Menefee"
"254","1902 John Terry"
"255","1902 Lave Winham"
"256","1902 Len Swormstedt"
"257","1902 Lewis Wiltse"
"258","1902 Lou Polchow"
"259","1902 Mal Eason"
"260","1902 Martin Glendon"
"261","1902 Mike Donlin"
"262","1902 Mike O'Neill"
"263","1902 Ned Garvin"
"264","1902 Nick Altrock"
"265","1902 Noodles Hahn"
"266","1902 Odie Porter"
"267","1902 Oscar Streit"
"268","1902 Otto Deininger"
"269","1902 Otto Hess"
"270","1902 Pat Carney"
"271","1902 Pop Williams"
"272","1902 Ray Hale"
"273","1902 Red Donahue"
"274","1902 Red Long"
"275","1902 Roscoe Miller"
"276","1902 Roy Evans"
"277","1902 Roy Patterson"
"278","1902 Rube Kisinger"
"279","1902 Rube Vickers"
"280","1902 Rube Waddell"
